author,title,description,url,urlToImage,publishedAt,content,country_code,source_id,source_name
CNN Arabic,لا يُسمح للرجال بالبيع فيه..أين يقع أكبر سوق تديره النساء؟ - CNN Arabic,,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vYXJhYmljLmNubi5jb20vdHJhdmVsL2FydGljbGUvMjAyMy8wNC8yNi9pbXBoYWwtaW5kaWEtbW90aGVycy1tYXJrZXTSAVRodHRwczovL2FyYWJpYy5jbm4uY29tL2FtcGh0bWwvdHJhdmVsL2FydGljbGUvMjAyMy8wNC8yNi9pbXBoYWwtaW5kaWEtbW90aGVycy1tYXJrZXQ?oc=5,,2023-04-26T10:25:00Z,,ae,google-news,Google News
موقع 24 الإخباري,بن أفليك لن يخسر جينيفر لوبيز مرة أخرى - موقع 24 الإخباري,,https://news.google.com/rss/articles/CBMi3gFodHRwczovLzI0LmFlL2FydGljbGUvNzU1Njc2LyVEOCVBOCVEOSU4Ni0lRDglQTMlRDklODElRDklODQlRDklOEElRDklODMtJUQ5JTg0JUQ5JTg2LSVEOSU4QSVEOCVBRSVEOCVCMyVEOCVCMS0lRDglQUMlRDklOEElRDklODYlRDklOEElRDklODElRDglQjEtJUQ5JTg0JUQ5JTg4JUQ4JUE4JUQ5JThBJUQ4JUIyLSVEOSU4NSVEOCVCMSVEOCVBOS0lRDglQTMlRDglQUUlRDglQjElRDklODnSAQA?oc=5,,2023-04-26T10:23:00Z,,ae,google-news,Google News
وكالة أنباء الإمارات,"لجنة بـ ""الوطني الاتحادي"" تناقش سياسة الحكومة بشأن الذكاء الاصطناعي - وكالة أنباء الإمارات",,https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vd3d3LndhbS5hZS9hci9kZXRhaWxzLzEzOTUzMDMxNTA5NjPSAQA?oc=5,,2023-04-26T09:28:57Z,,ae,google-news,Google News
العربية,"وصول الفرقاطة الفرنسية ""لورين"" لجدة على متنها 400 شخص قادمون من السودان - العربية",,https://news.google.com/rss/articles/CBMiiQNodHRwczovL3d3dy5hbGFyYWJpeWEubmV0L3NhdWRpLXRvZGF5LzIwMjMvMDQvMjYvJUQ5JTg4JUQ4JUI1JUQ5JTg4JUQ5JTg0LSVEOCVBNyVEOSU4NCVEOSU4MSVEOCVCMSVEOSU4MiVEOCVBNyVEOCVCNyVEOCVBOS0lRDglQTclRDklODQlRDklODElRDglQjElRDklODYlRDglQjMlRDklOEElRDglQTktJUQ5JTg0JUQ5JTg4JUQ4JUIxJUQ5JThBJUQ5JTg2LSVEOSU4NCVEOCVBQyVEOCVBRiVEOCVBOS0lRDglQjklRDklODQlRDklODktJUQ5JTg1JUQ4JUFBJUQ5JTg2JUQ5JTg3JUQ4JUE3LTQwMC0lRDglQjQlRDglQUUlRDglQjUtJUQ5JTgyJUQ4JUE3JUQ4JUFGJUQ5JTg1JUQ5JTg4JUQ5JTg2LSVEOSU4NSVEOSU4Ni0lRDglQTclRDklODQlRDglQjMlRDklODglRDglQUYlRDglQTclRDklODbSAY0DaHR0cHM6Ly93d3cuYWxhcmFiaXlhLm5ldC9hbXAvc2F1ZGktdG9kYXkvMjAyMy8wNC8yNi8lRDklODglRDglQjUlRDklODglRDklODQtJUQ4JUE3JUQ5JTg0JUQ5JTgxJUQ4JUIxJUQ5JTgyJUQ4JUE3JUQ4JUI3JUQ4JUE5LSVEOCVBNyVEOSU4NCVEOSU4MSVEOCVCMSVEOSU4NiVEOCVCMyVEOSU4QSVEOCVBOS0lRDklODQlRDklODglRDglQjElRDklOEElRDklODYtJUQ5JTg0JUQ4JUFDJUQ4JUFGJUQ4JUE5LSVEOCVCOSVEOSU4NCVEOSU4OS0lRDklODUlRDglQUElRDklODYlRDklODclRDglQTctNDAwLSVEOCVCNCVEOCVBRSVEOCVCNS0lRDklODIlRDglQTclRDglQUYlRDklODUlRDklODglRDklODYtJUQ5JTg1JUQ5JTg2LSVEOCVBNyVEOSU4NCVEOCVCMyVEOSU4OCVEOCVBRiVEOCVBNyVEOSU4Ng?oc=5,,2023-04-26T09:24:00Z,,ae,google-news,Google News
Goal.com,"""مو شغلك"" .. مسلي آل معمر يصدم إعلامي وجه له النصيحة! | العربية Goal.com - Goal.com",,https://news.google.com/rss/articles/CBMi4wJodHRwczovL3d3dy5nb2FsLmNvbS9hci8lRDglQTMlRDglQUUlRDglQTglRDglQTclRDglQjEvJUQ5JTg1JUQ5JTg4LSVEOCVCNCVEOCVCQSVEOSU4NCVEOSU4My0lRDglQTclRDklODQlRDklODYlRDglQjUlRDglQjEtJUQ5JTg1JUQ4JUIzJUQ5JTg0JUQ5JThBLSVEOCVBNyVEOSU5MyVEOSU4NC0lRDklODUlRDglQjklRDklODUlRDglQjEtJUQ5JThBJUQ4JUI1JUQ4JUFGJUQ5JTg1LSVEOCVBNyVEOSU5NSVEOCVCOSVEOSU4NCVEOCVBNyVEOSU4NSVEOSU4QS0lRDklODglRDglQUMlRDklODctJUQ5JTg0JUQ5JTg3LSVEOCVBNyVEOSU4NCVEOSU4NiVEOCVCNSVEOCVBRCVEOSU4QSVEOCVBOS9ibHRhNGU3N2UzN2U1NDlkODli0gEA?oc=5,,2023-04-26T09:23:27Z,,ae,google-news,Google News
Zahrat Alkhaleej زهرة الخليج,"حيل مخفية.. يمكنك استخدامها داخل ""آيفون"" - Zahrat Alkhaleej زهرة الخليج",,https://news.google.com/rss/articles/CBMi8QFodHRwczovL3d3dy56YWhyYXRhbGtoYWxlZWouYWUvYXJ0aWNsZS80MzcwNzI5LyVEOCVBRCVEOSU4QSVEOSU4NC0lRDklODUlRDglQUUlRDklODElRDklOEElRDglQTktLS0lRDklOEElRDklODUlRDklODMlRDklODYlRDklODMtJUQ4JUE3JUQ4JUIzJUQ4JUFBJUQ4JUFFJUQ4JUFGJUQ4JUE3JUQ5JTg1JUQ5JTg3JUQ4JUE3LSVEOCVBRiVEOCVBNyVEOCVBRSVEOSU4NC0tJUQ4JUEyJUQ5JThBJUQ5JTgxJUQ5JTg4JUQ5JTg20gH1AWh0dHBzOi8vd3d3LnphaHJhdGFsa2hhbGVlai5hZS9hbXAvYXJ0aWNsZS80MzcwNzI5LyVEOCVBRCVEOSU4QSVEOSU4NC0lRDklODUlRDglQUUlRDklODElRDklOEElRDglQTktLS0lRDklOEElRDklODUlRDklODMlRDklODYlRDklODMtJUQ4JUE3JUQ4JUIzJUQ4JUFBJUQ4JUFFJUQ4JUFGJUQ4JUE3JUQ5JTg1JUQ5JTg3JUQ4JUE3LSVEOCVBRiVEOCVBNyVEOCVBRSVEOSU4NC0tJUQ4JUEyJUQ5JThBJUQ5JTgxJUQ5JTg4JUQ5JTg2?oc=5,,2023-04-26T09:09:10Z,,ae,google-news,Google News
CNN Arabic,حامد خلف الله لـCNN عن تورط روسيا: ليست وحدها المنخرطة بصراع السودان - CNN Arabic,,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vYXJhYmljLmNubi5jb20vbWlkZGxlLWVhc3QvdmlkZW8vMjAyMy8wNC8yNi92MTM2OTYzLWhhbWVkLWtoYWxhZmFsbGFoLW9uLXJ1c3NpYXMtaW52b2x2ZW1lbnQtaW4tc3VkYW7SAXVodHRwczovL2FyYWJpYy5jbm4uY29tL2FtcGh0bWwvbWlkZGxlLWVhc3QvdmlkZW8vMjAyMy8wNC8yNi92MTM2OTYzLWhhbWVkLWtoYWxhZmFsbGFoLW9uLXJ1c3NpYXMtaW52b2x2ZW1lbnQtaW4tc3VkYW4?oc=5,,2023-04-26T08:58:27Z,,ae,google-news,Google News
حياتنا,"شركة ""ماتيل"" تطرح نموذجاً من باربي يحمل سمات المصابين بمتلازمة داون - حياتنا",,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmVtYXJhdGFseW91bS5jb20vbGlmZS9mb3VyLXNpZGVzLzIwMjMtMDQtMjYtMS4xNzQxNjQw0gFVaHR0cHM6Ly93d3cuZW1hcmF0YWx5b3VtLmNvbS9saWZlL2ZvdXItc2lkZXMvMjAyMy0wNC0yNi0xLjE3NDE2NDA_b3Q9b3QuQU1QUGFnZUxheW91dA?oc=5,,2023-04-26T08:53:23Z,,ae,google-news,Google News
فكر وفن,نجـدیـهْ - فكر وفن,,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3LmFsYmF5YW4uYWUvY3VsdHVyZS1hcnQvcG9ldHJ5LzIwMjMtMDQtMjYtMS40NjUzMzQy0gFSaHR0cHM6Ly93d3cuYWxiYXlhbi5hZS9jdWx0dXJlLWFydC9wb2V0cnkvMjAyMy0wNC0yNi0xLjQ2NTMzNDI_b3Q9b3QuQU1QUGFnZUxheW91dA?oc=5,,2023-04-26T08:42:37Z,,ae,google-news,Google News
Zahrat Alkhaleej زهرة الخليج,"هذه أحدث أفلام الرسوم المتحركة.. المقرر عرضها على ""نتفليكس"" - Zahrat Alkhaleej زهرة الخليج",,https://news.google.com/rss/articles/CBMi1AJodHRwczovL3d3dy56YWhyYXRhbGtoYWxlZWouYWUvYXJ0aWNsZS80MzcwNzIxLyVEOSU4NyVEOCVCMCVEOSU4Ny0lRDglQTMlRDglQUQlRDglQUYlRDglQUItJUQ4JUEzJUQ5JTgxJUQ5JTg0JUQ4JUE3JUQ5JTg1LSVEOCVBNyVEOSU4NCVEOCVCMSVEOCVCMyVEOSU4OCVEOSU4NS0lRDglQTclRDklODQlRDklODUlRDglQUElRDglQUQlRDglQjElRDklODMlRDglQTktLS0lRDglQTclRDklODQlRDklODUlRDklODIlRDglQjElRDglQjEtJUQ4JUI5JUQ4JUIxJUQ4JUI2JUQ5JTg3JUQ4JUE3LSVEOCVCOSVEOSU4NCVEOSU4OS0tJUQ5JTg2JUQ4JUFBJUQ5JTgxJUQ5JTg0JUQ5JThBJUQ5JTgzJUQ4JUIz0gHYAmh0dHBzOi8vd3d3LnphaHJhdGFsa2hhbGVlai5hZS9hbXAvYXJ0aWNsZS80MzcwNzIxLyVEOSU4NyVEOCVCMCVEOSU4Ny0lRDglQTMlRDglQUQlRDglQUYlRDglQUItJUQ4JUEzJUQ5JTgxJUQ5JTg0JUQ4JUE3JUQ5JTg1LSVEOCVBNyVEOSU4NCVEOCVCMSVEOCVCMyVEOSU4OCVEOSU4NS0lRDglQTclRDklODQlRDklODUlRDglQUElRDglQUQlRDglQjElRDklODMlRDglQTktLS0lRDglQTclRDklODQlRDklODUlRDklODIlRDglQjElRDglQjEtJUQ4JUI5JUQ4JUIxJUQ4JUI2JUQ5JTg3JUQ4JUE3LSVEOCVCOSVEOSU4NCVEOSU4OS0tJUQ5JTg2JUQ4JUFBJUQ5JTgxJUQ5JTg0JUQ5JThBJUQ5JTgzJUQ4JUIz?oc=5,,2023-04-26T08:31:46Z,,ae,google-news,Google News
